英文名,中文名,简称,外网价格,buff最低价格,最新价格,buff在售数量,饰品类型,比率
★ Classic Knife | Night Stripe (Battle-Scarred),海豹短刀（★） | 夜色 (战痕累累),海豹短刀（★） | 夜色,215.81,1063.3,1062.8,36.0,Knife,4.927019137204022
★ StatTrak™ Classic Knife,海豹短刀（★ StatTrak™）,海豹短刀（★ StatTrak™）,473.5,2333.0,2332.5,20.0,Knife,4.927138331573389
Galil AR | Cerberus (Minimal Wear),加利尔 AR | 地狱看门犬 (略有磨损),加利尔 AR | 地狱看门犬,39.17,193.0,192.5,89.0,Rifle,4.9272402348736275
★ Classic Knife | Boreal Forest (Battle-Scarred),海豹短刀（★） | 北方森林 (战痕累累),海豹短刀（★） | 北方森林,166.4,819.9,819.4,29.0,Knife,4.927283653846153
★ Paracord Knife | Blue Steel (Field-Tested),系绳匕首（★） | 蓝钢 (久经沙场),系绳匕首（★） | 蓝钢,197.47,973.0,972.5,39.0,Knife,4.927330733782346
★ Navaja Knife | Boreal Forest (Minimal Wear),折刀（★） | 北方森林 (略有磨损),折刀（★） | 北方森林,104.01,512.5,512.0,13.0,Knife,4.927410825882126
★ Gut Knife | Autotronic (Minimal Wear),穿肠刀（★） | 自动化 (略有磨损),穿肠刀（★） | 自动化,247.58,1220.0,1219.5,35.0,Knife,4.927700137329348
★ StatTrak™ Skeleton Knife | Forest DDPAT (Battle-Scarred),骷髅匕首（★ StatTrak™） | 森林 DDPAT (战痕累累),骷髅匕首（★ StatTrak™） | 森林 DDPAT,362.23,1785.0,1784.5,6.0,Knife,4.927808298594815
AK-47 | Gold Arabesque (Field-Tested),AK-47 | 黄金藤蔓 (久经沙场),AK-47 | 黄金藤蔓,2069.67,10199.0,10198.5,104.0,Rifle,4.927838737576522
★ Shadow Daggers | Marble Fade (Minimal Wear),暗影双匕（★） | 渐变大理石 (略有磨损),暗影双匕（★） | 渐变大理石,194.5,958.5,958.0,8.0,Knife,4.928020565552699
★ Survival Knife | Safari Mesh (Battle-Scarred),求生匕首（★） | 狩猎网格 (战痕累累),求生匕首（★） | 狩猎网格,123.36,608.0,607.5,16.0,Knife,4.9286640726329445
★ Bayonet | Bright Water (Well-Worn),刺刀（★） | 澄澈之水 (破损不堪),刺刀（★） | 澄澈之水,372.31,1835.0,1834.5,29.0,Knife,4.928688458542612
UMP-45 | Fade (Factory New),UMP-45 | 渐变之色 (崭新出厂),UMP-45 | 渐变之色,368.25,1815.0,1814.5,91.0,SMG,4.928716904276985
StatTrak™ MAC-10 | Last Dive (Battle-Scarred),MAC-10（StatTrak™） | 绝界之行 (战痕累累),MAC-10（StatTrak™） | 绝界之行,2.25,11.09,10.99,10.0,SMG,4.928888888888888
StatTrak™ M4A1-S | Hyper Beast (Field-Tested),M4A1 消音型（StatTrak™） | 暴怒野兽 (久经沙场),M4A1 消音型（StatTrak™） | 暴怒野兽,58.43,288.0,287.5,104.0,Rifle,4.928974841690912
★ StatTrak™ Stiletto Knife | Safari Mesh (Minimal Wear),短剑（★ StatTrak™） | 狩猎网格 (略有磨损),短剑（★ StatTrak™） | 狩猎网格,245.48,1210.0,1209.5,5.0,Knife,4.929118461789148
★ Specialist Gloves | Crimson Kimono (Well-Worn),专业手套（★） | 深红和服 (破损不堪),专业手套（★） | 深红和服,1379.14,6798.0,6797.5,70.0,Gloves,4.929158751105761
★ Bayonet | Damascus Steel (Factory New),刺刀（★） | 大马士革钢 (崭新出厂),刺刀（★） | 大马士革钢,535.07,2637.5,2637.0,89.0,Knife,4.929261591941241
StatTrak™ M4A1-S | Cyrex (Battle-Scarred),M4A1 消音型（StatTrak™） | 次时代 (战痕累累),M4A1 消音型（StatTrak™） | 次时代,40.29,198.6,198.1,8.0,Rifle,4.929262844378258
StatTrak™ Tec-9 | Decimator (Factory New),Tec-9（StatTrak™） | 屠杀者 (崭新出厂),Tec-9（StatTrak™） | 屠杀者,113.2,558.0,557.5,36.0,Pistol,4.929328621908127
StatTrak™ G3SG1 | Flux (Battle-Scarred),G3SG1（StatTrak™） | 弗卢克斯 (战痕累累),G3SG1（StatTrak™） | 弗卢克斯,13.49,66.5,66.4,14.0,Sniper Rifle,4.929577464788732
AWP | Atheris (Minimal Wear),AWP | 树蝰 (略有磨损),AWP | 树蝰,8.52,42.0,41.9,1606.0,Sniper Rifle,4.929577464788733
★ StatTrak™ Bayonet | Safari Mesh (Battle-Scarred),刺刀（★ StatTrak™） | 狩猎网格 (战痕累累),刺刀（★ StatTrak™） | 狩猎网格,275.07,1356.0,1269.5,5.0,Knife,4.929654269822227
