英文名,中文名,简称,外网价格,外网数量,buff最低价格,最新价格,buff在售数量,饰品类型,比率
AK-47 | Aquamarine Revenge (Factory New),AK-47 | 深海复仇 (崭新出厂),AK-47 | 深海复仇,107.69,5.0,500.0,499.5,345.0,Rifle,4.6429566347850315
AK-47 | Redline (Field-Tested),AK-47 | 红线 (久经沙场),AK-47 | 红线,21.34,166.0,99.1,99.0,13615.0,Rifle,4.643861293345829
AWP | Asiimov (Battle-Scarred),AWP | 二西莫夫 (战痕累累),AWP | 二西莫夫,96.12,1.0,446.4,445.9,1735.0,Sniper Rifle,4.644194756554307
MAG-7 | Monster Call (Factory New),MAG-7 | 北冥有鱼 (崭新出厂),MAG-7 | 北冥有鱼,2.28,6.0,10.59,10.49,439.0,Shotgun,4.644736842105264
StatTrak™ USP-S | Ticket to Hell (Factory New),USP 消音版（StatTrak™） | 地狱门票 (崭新出厂),USP 消音版（StatTrak™） | 地狱门票,13.13,15.0,61.0,60.9,202.0,Pistol,4.645849200304646
The Elite Mr. Muhlik | Elite Crew,精英穆哈里克先生 | 精锐分子,精英穆哈里克先生 | 精锐分子,4.41,4.0,20.49,20.39,1543.0,Agent,4.64625850340136
AWP | Neo-Noir (Well-Worn),AWP | 黑色魅影 (破损不堪),AWP | 黑色魅影,35.06,1.0,162.99,162.49,43.0,Sniper Rifle,4.648887621220764
★ M9 Bayonet | Tiger Tooth (Factory New),M9 刺刀（★） | 虎牙 (崭新出厂),M9 刺刀（★） | 虎牙,1354.56,21.0,6297.99,6297.49,170.0,Knife,4.649472891566265
★ Butterfly Knife | Marble Fade (Factory New),蝴蝶刀（★） | 渐变大理石 (崭新出厂),蝴蝶刀（★） | 渐变大理石,2720.0,2.0,12648.5,12648.0,746.0,Knife,4.650183823529412
★ StatTrak™ Karambit | Lore (Minimal Wear),爪子刀（★ StatTrak™） | 传说 (略有磨损),爪子刀（★ StatTrak™） | 传说,2145.53,11.0,9980.0,9979.5,19.0,Knife,4.651531323262783
★ Skeleton Knife,骷髅匕首（★）,骷髅匕首（★）,1267.13,2.0,5897.5,5897.0,148.0,Knife,4.654218588463693
Crasswater The Forgotten | Guerrilla Warfare,遗忘者克拉斯沃特 | 游击队,遗忘者克拉斯沃特 | 游击队,7.67,2.0,35.7,35.6,675.0,Agent,4.6544980443285535
MP7 | Nemesis (Factory New),MP7 | 复仇者 (崭新出厂),MP7 | 复仇者,13.21,2.0,61.49,61.39,79.0,SMG,4.654806964420893
